zip,city,state,county,timezone,lat,lng
00601,Adjuntas,PR,Adjuntas,America/Puerto_Rico,18.18005,-66.75218
00602,Aguada,PR,Aguada,America/Puerto_Rico,18.36074,-67.17519
00603,Aguadilla,PR,Aguadilla,America/Puerto_Rico,18.4544,-67.12201
00606,Maricao,PR,Maricao,America/Puerto_Rico,18.16721,-66.93828
00610,Anasco,PR,Añasco,America/Puerto_Rico,18.29032,-67.12244
00612,Arecibo,PR,Arecibo,America/Puerto_Rico,18.40699,-66.70805
00616,Bajadero,PR,Arecibo,America/Puerto_Rico,18.41752,-66.66814
00617,Barceloneta,PR,Barceloneta,America/Puerto_Rico,18.44125,-66.55916
00622,Boqueron,PR,Cabo Rojo,America/Puerto_Rico,17.99174,-67.15248
00623,Cabo Rojo,PR,Cabo Rojo,America/Puerto_Rico,18.08354,-67.15418
00624,Penuelas,PR,Peñuelas,America/Puerto_Rico,18.06465,-66.71823
00627,Camuy,PR,Camuy,America/Puerto_Rico,18.419,-66.86033
00631,Castaner,PR,Lares,America/Puerto_Rico,18.18555,-66.83327
00637,Sabana Grande,PR,Sabana Grande,America/Puerto_Rico,18.0798,-66.94274
00638,Ciales,PR,Ciales,America/Puerto_Rico,18.28905,-66.5151
00641,Utuado,PR,Utuado,America/Puerto_Rico,18.26408,-66.71376
00646,Dorado,PR,Dorado,America/Puerto_Rico,18.43401,-66.2833
00647,Ensenada,PR,Guánica,America/Puerto_Rico,17.96612,-66.94383
00650,Florida,PR,Florida,America/Puerto_Rico,18.34321,-66.58601
00652,Garrochales,PR,Arecibo,America/Puerto_Rico,18.45542,-66.60635
00653,Guanica,PR,Guánica,America/Puerto_Rico,17.98572,-66.89031
00656,Guayanilla,PR,Guayanilla,America/Puerto_Rico,18.05281,-66.79182
00659,Hatillo,PR,Hatillo,America/Puerto_Rico,18.41069,-66.79648
00660,Hormigueros,PR,Hormigueros,America/Puerto_Rico,18.13419,-67.11403
00662,Isabela,PR,Isabela,America/Puerto_Rico,18.46208,-67.01444
00664,Jayuya,PR,Jayuya,America/Puerto_Rico,18.21151,-66.5889
00667,Lajas,PR,Lajas,America/Puerto_Rico,18.01227,-67.0409
00669,Lares,PR,Lares,America/Puerto_Rico,18.27102,-66.86982
00670,Las Marias,PR,Las Marías,America/Puerto_Rico,18.23776,-66.98875
00674,Manati,PR,Manatí,America/Puerto_Rico,18.42123,-66.49003
00676,Moca,PR,Moca,America/Puerto_Rico,18.37789,-67.08084
00677,Rincon,PR,Rincón,America/Puerto_Rico,18.3357,-67.23168
00678,Quebradillas,PR,Quebradillas,America/Puerto_Rico,18.4327,-66.92813
00680,Mayaguez,PR,Mayagüez,America/Puerto_Rico,18.16328,-67.36192
00682,Mayaguez,PR,Mayagüez,America/Puerto_Rico,18.22118,-67.15381
00683,San German,PR,San Germán,America/Puerto_Rico,18.10998,-67.0373
00685,San Sebastian,PR,San Sebastián,America/Puerto_Rico,18.33625,-66.97225
00687,Morovis,PR,Morovis,America/Puerto_Rico,18.31708,-66.4203
00688,Sabana Hoyos,PR,Arecibo,America/Puerto_Rico,18.38056,-66.62425
00690,San Antonio,PR,Aguadilla,America/Puerto_Rico,18.49563,-67.09822
00692,Vega Alta,PR,Vega Alta,America/Puerto_Rico,18.40845,-66.33691
00693,Vega Baja,PR,Vega Baja,America/Puerto_Rico,18.42132,-66.40012
00694,Vega Baja,PR,Vega Baja,America/Puerto_Rico,18.48329,-66.39261
00698,Yauco,PR,Yauco,America/Puerto_Rico,18.06727,-66.85273
00703,Aguas Buenas,PR,Aguas Buenas,America/Puerto_Rico,18.24843,-66.13117
00704,Aguirre,PR,Salinas,America/Puerto_Rico,17.96719,-66.22013
00705,Aibonito,PR,Aibonito,America/Puerto_Rico,18.12946,-66.26477
00707,Maunabo,PR,Maunabo,America/Puerto_Rico,18.01813,-65.922
00714,Arroyo,PR,Arroyo,America/Puerto_Rico,17.99854,-66.05606
00715,Mercedita,PR,Ponce,America/Puerto_Rico,18.01174,-66.55987
00716,Ponce,PR,Ponce,America/Puerto_Rico,17.99942,-66.60014
00717,Ponce,PR,Ponce,America/Puerto_Rico,18.00342,-66.61325
00718,Naguabo,PR,Naguabo,America/Puerto_Rico,18.2333,-65.7611
00719,Naranjito,PR,Naranjito,America/Puerto_Rico,18.2888,-66.25336
00720,Orocovis,PR,Orocovis,America/Puerto_Rico,18.21772,-66.42816
00723,Patillas,PR,Patillas,America/Puerto_Rico,18.03237,-66.01233
00725,Caguas,PR,Caguas,America/Puerto_Rico,18.21857,-66.04275
00727,Caguas,PR,Caguas,America/Puerto_Rico,18.21496,-66.07356
00728,Ponce,PR,Ponce,America/Puerto_Rico,18.00627,-66.6612
00729,Canovanas,PR,Canóvanas,America/Puerto_Rico,18.33113,-65.88722
00730,Ponce,PR,Ponce,America/Puerto_Rico,18.03091,-66.61659
00731,Ponce,PR,Ponce,America/Puerto_Rico,18.09776,-66.63356
00735,Ceiba,PR,Ceiba,America/Puerto_Rico,18.25365,-65.68306
00736,Cayey,PR,Cayey,America/Puerto_Rico,18.10652,-66.15258
00738,Fajardo,PR,Fajardo,America/Puerto_Rico,18.31828,-65.66785
00739,Cidra,PR,Cidra,America/Puerto_Rico,18.17681,-66.16055
00740,Puerto Real,PR,Fajardo,America/Puerto_Rico,18.3322,-65.63429
00741,Punta Santiago,PR,Humacao,America/Puerto_Rico,18.16564,-65.75563
00745,Rio Grande,PR,Río Grande,America/Puerto_Rico,18.34827,-65.8172
00751,Salinas,PR,Salinas,America/Puerto_Rico,18.01021,-66.24751
00754,San Lorenzo,PR,San Lorenzo,America/Puerto_Rico,18.1457,-65.97606
00757,Santa Isabel,PR,Santa Isabel,America/Puerto_Rico,17.99728,-66.38891
00765,Vieques,PR,Vieques,America/Puerto_Rico,18.12852,-65.44088
00766,Villalba,PR,Villalba,America/Puerto_Rico,18.13299,-66.47703
00767,Yabucoa,PR,Yabucoa,America/Puerto_Rico,18.07052,-65.89606
00769,Coamo,PR,Coamo,America/Puerto_Rico,18.097,-66.36102
00771,Las Piedras,PR,Las Piedras,America/Puerto_Rico,18.18746,-65.86932
00772,Loiza,PR,Loíza,America/Puerto_Rico,18.43267,-65.90836
00773,Luquillo,PR,Luquillo,America/Puerto_Rico,18.34174,-65.7274
00775,Culebra,PR,Culebra,America/Puerto_Rico,18.31347,-65.29017
00777,Juncos,PR,Juncos,America/Puerto_Rico,18.22357,-65.90881
00778,Gurabo,PR,Gurabo,America/Puerto_Rico,18.26339,-65.97936
00780,Coto Laurel,PR,Ponce,America/Puerto_Rico,18.10416,-66.57175
00782,Comerio,PR,Comerío,America/Puerto_Rico,18.22544,-66.22218
00783,Corozal,PR,Corozal,America/Puerto_Rico,18.3041,-66.32847
00784,Guayama,PR,Guayama,America/Puerto_Rico,18.00544,-66.13392
00786,La Plata,PR,Aibonito,America/Puerto_Rico,18.15536,-66.22992
00791,Humacao,PR,Humacao,America/Puerto_Rico,18.14069,-65.818
00794,Barranquitas,PR,Barranquitas,America/Puerto_Rico,18.20154,-66.30873
00795,Juana Diaz,PR,Juana Díaz,America/Puerto_Rico,18.05932,-66.50178
00801,St Thomas,VI,St. Thomas,America/St_Thomas,18.34856,-64.97502
00802,St Thomas,VI,St. Thomas,America/St_Thomas,18.34225,-64.92657
00820,Christiansted,VI,St. Croix,America/St_Thomas,17.74147,-64.687
00823,Christiansted,VI,St. Croix,America/St_Thomas,17.73281,-64.74653
00824,Christiansted,VI,St. Croix,America/St_Thomas,17.74461,-64.68276
00830,St John,VI,St. John,America/St_Thomas,18.33851,-64.73804
00831,St John,VI,St. John,America/St_Thomas,18.32716,-64.78676
00840,Frederiksted,VI,St. Croix,America/St_Thomas,17.72484,-64.85931
